Provincias;Ramas de actividad;periodo;Total
23 Jaén;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;11.170.612
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);10.224.642
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;9.304.383
24 León;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;10.093.250
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);12.558.913
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;11.521.909
25 Lleida;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;12.641.158
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.395.362
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;6.891.215
27 Lugo;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.763.915
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);237.540.292
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;219.030.504
28 Madrid;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;242.093.235
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);30.776.021
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;28.160.097
29 Málaga;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;32.202.624
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);32.719.230
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;29.775.480
30 Murcia;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;32.319.250
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);20.518.471
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;18.937.439
31 Navarra;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;20.873.397
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);7.104.228
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;6.384.529
32 Ourense;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;7.100.820
