Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
30 Murcia;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.493.898
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2022;664.117
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2021;661.537
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2020;661.197
31 Navarra;TOTAL EDADES;TOTAL;Ambos sexos;2019;654.214
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2022;304.280
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2021;305.223
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2020;306.650
32 Ourense;TOTAL EDADES;TOTAL;Ambos sexos;2019;307.651
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2022;158.008
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2021;159.123
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2020;160.321
34 Palencia;TOTAL EDADES;TOTAL;Ambos sexos;2019;160.980
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.129.395
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.128.539
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.131.065
35 Palmas, Las;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.120.406
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2022;943.015
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2021;944.275
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2020;945.408
36 Pontevedra;TOTAL EDADES;TOTAL;Ambos sexos;2019;942.665
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2022;319.892
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2021;319.796
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2020;319.914
26 Rioja, La;TOTAL EDADES;TOTAL;Ambos sexos;2019;316.798
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2022;325.898
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2021;327.338
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2020;329.245
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2019;330.119
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.048.306
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.044.405
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.044.887
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.032.983
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2022;153.803
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2021;153.663
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2020;153.478
40 Segovia;TOTAL EDADES;TOTAL;Ambos sexos;2019;153.129
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.948.393
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.947.852
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.950.219
41 Sevilla;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.942.389
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2022;88.377
42 Soria;TOTAL EDADES;TOTAL;Ambos sexos;2021;88.747
