,periodo,Total,cod_prov,provincias,cod_actividad,ramas de actividad
68,2019,3781684,1,Araba/Álava,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
69,2021,3473573,1,Araba/Álava,3, - De las cuales: Industria manufacturera
70,2020,3145920,1,Araba/Álava,3, - De las cuales: Industria manufacturera
71,2019,3588690,1,Araba/Álava,3, - De las cuales: Industria manufacturera
72,2021,400677,1,Araba/Álava,7, Construcción
73,2020,429096,1,Araba/Álava,7, Construcción
74,2019,518235,1,Araba/Álava,7, Construcción
75,2021,1946392,1,Araba/Álava,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
76,2020,1669800,1,Araba/Álava,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
77,2019,1961560,1,Araba/Álava,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
78,2021,2434844,1,Araba/Álava,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
79,2020,2327165,1,Araba/Álava,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
80,2019,2392190,1,Araba/Álava,5," Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares"
81,2021,2891885,1,Araba/Álava,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
82,2020,2700268,1,Araba/Álava,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
83,2019,2754616,1,Araba/Álava,6," Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios"
84,2021,306301,33,Asturias,1," Agricultura, ganadería, silvicultura y pesca"
85,2020,284291,33,Asturias,1," Agricultura, ganadería, silvicultura y pesca"
86,2019,307966,33,Asturias,1," Agricultura, ganadería, silvicultura y pesca"
87,2021,4572369,33,Asturias,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
88,2020,3762056,33,Asturias,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
89,2019,4239988,33,Asturias,2," Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación"
90,2021,3118701,33,Asturias,3, - De las cuales: Industria manufacturera
91,2020,2508510,33,Asturias,3, - De las cuales: Industria manufacturera
92,2019,2902969,33,Asturias,3, - De las cuales: Industria manufacturera
93,2021,1392272,33,Asturias,7, Construcción
94,2020,1314621,33,Asturias,7, Construcción
95,2019,1521189,33,Asturias,7, Construcción
96,2021,4867794,33,Asturias,4," Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones"
